,Province,Year,Population,GDI,GEM,FemaleLE,MaleLE,FemaleASY,MaleASY,FemaleESY,MaleESY,FemaleEPC,MaleEPC,FemaleHDI,MaleHDI,FemaleSI,MaleSI,FemaleIP,MaleIP,FemaleMS,MaleMS,FemalePS,MalePS
317,Sulawesi Barat,2015,1282200.0,89.52,69.4,66.18,62.36,6.71,7.33,12.41,11.96,6407860.0,11976960.0,60.0,67.02,0.3617,0.6383,0.15560000000000002,0.8444,0.21350000000000002,0.7865,0.5328,0.46719999999999995
318,Sulawesi Barat,2016,1306500.0,89.35,71.71,66.2,62.49,6.91,7.4,12.52,12.16,6475000.0,12358000.0,60.46,67.67,0.36200000000000004,0.6379999999999999,0.1778,0.8222,0.3232,0.6768000000000001,0.5267000000000001,0.47329999999999994
319,Sulawesi Barat,2017,1331000.0,89.44,73.37,66.23,62.52,7.08,7.55,12.71,12.27,6572000.0,12662000.0,61.01,68.21,0.36210000000000003,0.6378999999999999,0.2,0.8,0.34630000000000005,0.6537,0.5493,0.4507
320,Sulawesi Barat,2018,1355600.0,90.05,71.95,66.47,62.76,7.28,7.66,12.97,12.28,6805000.0,13157000.0,61.98,68.83,0.3626,0.6374,0.1778,0.8222,0.3207,0.6793,0.5299,0.47009999999999996
321,Sulawesi Barat,2019,1380300.0,89.76,65.92,66.78,62.96,7.5,8.0,12.98,12.46,6940000.0,13424000.0,62.6,69.74,0.3632,0.6368,0.11109999999999999,0.8889,0.2995,0.7005,0.5167,0.48329999999999995
322,Sulawesi Barat,2020,1419230.0,89.43,65.92,67.02,63.2,7.6,8.19,12.99,12.73,6910000.0,13177000.0,62.79,70.21,0.3657,0.6343,0.11109999999999999,0.8889,0.31489999999999996,0.6851,0.5326,0.46740000000000004
323,Sulawesi Barat,2021,1436840.0,89.57,65.93,67.19,63.39,7.66,8.26,13.17,12.74,6880000.0,13173000.0,63.06,70.4,0.36590000000000006,0.6340999999999999,0.11109999999999999,0.8889,0.30010000000000003,0.6999,0.5365,0.4635
324,Sulawesi Selatan,2010,8034800.0,91.54,62.46,70.94,67.01,6.91,7.73,11.8,11.13,7949890.0,13491680.0,64.03,69.95,0.2914,0.7086,0.16,0.84,,,0.4903,0.5097
325,Sulawesi Selatan,2011,8156100.0,91.79,63.38,71.12,67.2,6.95,7.76,12.09,11.54,8191980.0,13520200.0,64.78,70.57,0.29359999999999997,0.7064,0.16,0.84,,,0.5071,0.4929
326,Sulawesi Selatan,2012,8250000.0,91.96,63.88,71.31,67.4,6.99,7.8,12.35,11.97,8441440.0,13548790.0,65.49,71.22,0.2973,0.7027,0.16,0.84,,,0.5194,0.4806
327,Sulawesi Selatan,2013,8342000.0,92.34,64.42,71.5,67.59,7.08,7.83,12.68,12.4,8692250.0,13577370.0,66.34,71.84,0.30219999999999997,0.6978,0.16,0.84,,,0.5273,0.4727
328,Sulawesi Selatan,2014,8432200.0,92.6,66.76,71.59,67.69,7.15,7.86,13.1,12.7,8950510.0,14068780.0,67.22,72.59,0.30670000000000003,0.6933,0.1765,0.8235,,,0.5073,0.4927
329,Sulawesi Selatan,2015,8520300.0,92.92,67.98,71.8,67.89,7.34,7.97,13.27,12.73,9029790.0,14249670.0,67.81,72.98,0.31120000000000003,0.6888,0.1882,0.8118,0.2698,0.7302,0.5295000000000001,0.4704999999999999
330,Sulawesi Selatan,2016,8606400.0,92.79,70.02,71.84,67.94,7.46,8.08,13.41,12.91,9194000.0,14672000.0,68.3,73.61,0.31120000000000003,0.6888,0.2118,0.7882,0.10859999999999999,0.8914,0.5381,0.4619
331,Sulawesi Selatan,2017,8690300.0,92.84,70.57,71.86,67.96,7.63,8.31,13.59,12.99,9379000.0,15010000.0,68.9,74.21,0.31629999999999997,0.6837,0.2118,0.7882,0.27440000000000003,0.7256,0.5162,0.4838
332,Sulawesi Selatan,2018,8772000.0,93.15,69.14,72.1,68.2,7.76,8.32,13.72,13.0,9591000.0,15492000.0,69.53,74.64,0.31829999999999997,0.6817,0.1905,0.8095,0.28600000000000003,0.714,0.5291,0.4709
333,Sulawesi Selatan,2019,8851200.0,93.09,76.01,72.42,68.54,7.95,8.57,13.73,13.03,9868000.0,15928000.0,70.21,75.42,0.32439999999999997,0.6756,0.2771,0.7229,0.2736,0.7263999999999999,0.5302,0.4698
334,Sulawesi Selatan,2020,9073510.0,92.86,76.32,72.56,68.68,8.15,8.63,13.74,13.36,9822000.0,15893000.0,70.48,75.9,0.32549999999999996,0.6745000000000001,0.284,0.716,0.2642,0.7358,0.5447,0.45530000000000004
335,Sulawesi Selatan,2021,9139530.0,92.85,74.76,72.65,68.77,8.2,8.74,13.81,13.37,9924000.0,16092000.0,70.76,76.21,0.3251,0.6749,0.2588,0.7412000000000001,0.3214,0.6786,0.551,0.44899999999999995
336,Sulawesi Tengah,2010,2635000.0,91.23,65.37,68.07,64.17,7.34,7.95,11.37,10.99,6425490.0,10466770.0,60.59,66.42,0.2778,0.7222,0.1818,0.8182,,,0.484,0.516
337,Sulawesi Tengah,2011,2692800.0,91.7,66.08,68.39,64.48,7.38,7.99,11.96,11.68,6680450.0,10505430.0,61.79,67.39,0.2812,0.7188,0.1818,0.8182,,,0.51,0.49
338,Sulawesi Tengah,2012,2739300.0,91.77,67.96,68.7,64.8,7.42,8.03,12.46,11.73,6945530.0,11538090.0,62.89,68.53,0.2829,0.7171000000000001,0.2,0.8,,,0.5003,0.49970000000000003
339,Sulawesi Tengah,2013,2785500.0,91.84,68.59,69.02,65.11,7.51,8.13,12.61,12.12,7139120.0,11580710.0,63.6,69.25,0.2879,0.7121,0.2,0.8,,,0.5065,0.49350000000000005
340,Sulawesi Tengah,2014,2831300.0,92.69,65.11,69.18,65.27,7.62,8.16,13.09,12.37,7338100.0,11623330.0,64.57,69.66,0.2929,0.7071000000000001,0.15560000000000002,0.8444,,,0.5192,0.4808
341,Sulawesi Tengah,2015,2876700.0,92.25,65.57,69.26,65.34,7.66,8.27,13.12,12.39,7477340.0,12204350.0,64.87,70.32,0.293,0.7070000000000001,0.15560000000000002,0.8444,0.272,0.728,0.483,0.517
342,Sulawesi Tengah,2016,2921700.0,91.91,70.05,69.28,65.39,7.84,8.38,13.16,12.69,7619000.0,12585000.0,65.34,71.09,0.3,0.7,0.2,0.8,0.18539999999999998,0.8146,0.5254,0.4746
343,Sulawesi Tengah,2017,2966300.0,91.66,70.38,69.29,65.4,8.0,8.56,13.27,12.82,7710000.0,12980000.0,65.76,71.74,0.302,0.698,0.2,0.8,0.2728,0.7272000000000001,0.5023,0.49770000000000003
344,Sulawesi Tengah,2018,3010400.0,92.08,73.95,69.75,65.86,8.27,8.76,13.49,12.83,7873000.0,13300000.0,66.72,72.46,0.304,0.696,0.2444,0.7556,0.34020000000000006,0.6597999999999999,0.5223,0.4777
345,Sulawesi Tengah,2019,3054000.0,92.01,74.49,70.26,66.32,8.5,8.98,13.5,12.95,7951000.0,13456000.0,67.34,73.19,0.30870000000000003,0.6913,0.2444,0.7556,0.3249,0.6751,0.4893,0.5106999999999999
346,Sulawesi Tengah,2020,2985730.0,91.87,75.78,70.72,66.77,8.58,9.07,13.51,13.07,7729000.0,12990000.0,67.35,73.31,0.311,0.6890000000000001,0.2667,0.7333000000000001,0.3701,0.6299,0.5284,0.4716
347,Sulawesi Tengah,2021,3021880.0,91.91,75.8,70.85,66.91,8.62,9.14,13.62,13.08,7755000.0,13070000.0,67.59,73.54,0.3106,0.6894,0.2727,0.7273000000000001,0.39299999999999996,0.607,0.5264,0.4736
348,Sulawesi Tenggara,2010,2232600.0,87.9,64.26,71.67,67.72,6.94,8.22,12.24,12.07,5982820.0,11204280.0,61.73,70.23,0.32170000000000004,0.6782999999999999,0.15560000000000002,0.8444,,,0.47159999999999996,0.5284
349,Sulawesi Tenggara,2011,2294400.0,88.06,65.26,71.87,67.93,7.01,8.36,12.32,12.28,6198400.0,11334040.0,62.39,70.85,0.3289,0.6711,0.15560000000000002,0.8444,,,0.4669,0.5331
350,Sulawesi Tenggara,2012,2345500.0,88.42,65.86,72.08,68.14,7.22,8.42,12.66,12.3,6421750.0,12224880.0,63.47,71.79,0.33390000000000003,0.6660999999999999,0.15560000000000002,0.8444,,,0.44689999999999996,0.5531
351,Sulawesi Tenggara,2013,2396700.0,89.24,64.49,72.3,68.35,7.38,8.49,12.77,12.32,6688370.0,12354320.0,64.33,72.09,0.34119999999999995,0.6588,0.1333,0.8667,,,0.45439999999999997,0.5456000000000001
352,Sulawesi Tenggara,2014,2448100.0,89.56,68.13,72.41,68.45,7.69,8.78,12.87,12.69,6966050.0,12366460.0,65.3,72.91,0.35119999999999996,0.6488,0.15560000000000002,0.8444,,,0.4647,0.5353
353,Sulawesi Tenggara,2015,2499500.0,90.3,72.14,72.46,68.5,7.7,8.79,13.35,12.8,7117730.0,12468550.0,66.04,73.14,0.35850000000000004,0.6415,0.2,0.8,0.376,0.624,0.48729999999999996,0.5127
354,Sulawesi Tenggara,2016,2551000.0,90.23,70.51,72.47,68.54,7.86,8.83,13.37,13.09,7269000.0,12714000.0,66.5,73.7,0.3586,0.6414,0.1778,0.8222,0.17679999999999998,0.8232,0.4742,0.5258
355,Sulawesi Tenggara,2017,2602400.0,90.24,70.76,72.47,68.57,7.95,8.98,13.54,13.17,7422000.0,13068000.0,67.0,74.25,0.3603,0.6396999999999999,0.1778,0.8222,0.1804,0.8196,0.4792,0.5207999999999999
356,Sulawesi Tenggara,2018,2653700.0,90.24,71.54,72.71,68.83,8.26,9.13,13.55,13.48,7578000.0,13271000.0,67.71,75.03,0.3604,0.6396,0.1818,0.8182,0.3221,0.6779,0.4879,0.5121
357,Sulawesi Tenggara,2019,2704700.0,90.56,71.4,73.12,69.2,8.47,9.36,13.7,13.49,7714000.0,13445000.0,68.48,75.62,0.361,0.639,0.1778,0.8222,0.30760000000000004,0.6923999999999999,0.4915,0.5085
358,Sulawesi Tenggara,2020,2624880.0,90.5,72.54,73.37,69.31,8.64,9.46,13.71,13.63,7619000.0,13340000.0,68.66,75.87,0.3627,0.6373,0.1905,0.8095,0.21539999999999998,0.7846,0.4963,0.5037
359,Sulawesi Tenggara,2021,2659160.0,90.68,73.1,73.37,69.35,8.72,9.55,13.91,13.64,7650000.0,13432000.0,68.98,76.07,0.3615,0.6385000000000001,0.2,0.8,0.2718,0.7282,0.512,0.488
360,Sulawesi Utara,2010,2270600.0,93.1,71.2,72.39,68.51,8.59,8.73,11.75,10.95,7411720.0,12162360.0,65.95,70.84,0.2871,0.7129,0.2444,0.7556,,,0.5336,0.46640000000000004
361,Sulawesi Utara,2011,2305900.0,93.29,73.34,72.55,68.65,8.61,8.76,11.79,11.22,7723390.0,12268900.0,66.53,71.32,0.2914,0.7086,0.2667,0.7333000000000001,,,0.5104,0.48960000000000004
362,Sulawesi Utara,2012,2333500.0,93.38,75.0,72.7,68.8,8.63,8.78,12.19,11.38,8048160.0,13150670.0,67.47,72.26,0.29359999999999997,0.7064,0.2889,0.7111000000000001,,,0.5202,0.4798
363,Sulawesi Utara,2013,2360400.0,93.75,75.55,72.85,68.95,8.67,8.84,12.35,11.61,8386590.0,13265870.0,68.19,72.74,0.298,0.702,0.2889,0.7111000000000001,,,0.5188,0.48119999999999996
364,Sulawesi Utara,2014,2386600.0,94.58,76.15,72.92,69.03,8.83,8.89,12.51,11.86,8913810.0,13382090.0,69.23,73.19,0.3063,0.6937,0.2889,0.7111000000000001,,,0.5245000000000001,0.4754999999999999
365,Sulawesi Utara,2015,2412100.0,94.64,79.82,72.98,69.08,8.86,8.9,12.63,12.24,9206080.0,13465310.0,69.75,73.7,0.3081,0.6919,0.3636,0.6364000000000001,0.2709,0.7291000000000001,0.5516,0.4484
366,Sulawesi Utara,2016,2436900.0,95.04,81.24,72.99,69.09,9.0,8.93,12.88,12.27,9506000.0,14056000.0,70.5,74.18,0.3156,0.6844,0.3778,0.6222,0.3676,0.6324000000000001,0.5334,0.4666
367,Sulawesi Utara,2017,2461000.0,94.78,82.37,73.01,69.11,9.19,9.1,12.95,12.42,9639000.0,14497000.0,70.95,74.86,0.32170000000000004,0.6782999999999999,0.3864,0.6135999999999999,0.4335,0.5665,0.5252,0.4748
368,Sulawesi Utara,2018,2484400.0,94.79,80.91,73.23,69.33,9.24,9.24,13.05,12.43,9878000.0,14887000.0,71.47,75.4,0.3235,0.6765,0.3333,0.6667000000000001,0.4122,0.5878,0.5134000000000001,0.4865999999999999
369,Sulawesi Utara,2019,2507000.0,94.53,79.1,73.55,69.71,9.39,9.46,13.06,12.58,10239000.0,15429000.0,72.18,76.36,0.3239,0.6760999999999999,0.2889,0.7111000000000001,0.36619999999999997,0.6338,0.5095000000000001,0.49049999999999994
370,Sulawesi Utara,2020,2621920.0,94.42,78.98,73.67,69.82,9.47,9.51,13.07,12.76,9980000.0,14898000.0,72.08,76.34,0.325,0.675,0.2927,0.7073,0.4793,0.5206999999999999,0.5359,0.46409999999999996
371,Sulawesi Utara,2021,2638630.0,94.61,79.07,73.72,69.89,9.64,9.59,13.22,12.77,10053000.0,15153000.0,72.52,76.65,0.3223,0.6777,0.2955,0.7045,0.4214,0.5786,0.5211,0.4789
372,Sumatera Barat,2010,4846900.0,91.98,63.04,69.58,65.7,7.92,8.36,12.59,11.83,7728470.0,13351020.0,65.17,70.85,0.34159999999999996,0.6584000000000001,0.1273,0.8727,,,0.5783,0.42169999999999996
373,Sumatera Barat,2011,4933100.0,92.82,64.62,69.78,65.9,8.0,8.42,13.15,11.89,7794720.0,13388260.0,66.0,71.1,0.34159999999999996,0.6584000000000001,0.1273,0.8727,,,0.5613,0.4387
374,Sumatera Barat,2012,5000200.0,92.98,65.22,69.99,66.11,8.09,8.47,13.28,12.36,8134620.0,13425600.0,66.77,71.81,0.3555,0.6445000000000001,0.1273,0.8727,,,0.5418999999999999,0.45810000000000006
375,Sumatera Barat,2013,5066500.0,93.02,65.4,70.2,66.31,8.09,8.53,13.57,12.75,8310090.0,13500600.0,67.39,72.44,0.3577,0.6423,0.1273,0.8727,,,0.5532,0.4468
376,Sumatera Barat,2014,5131900.0,94.04,61.86,70.31,66.41,8.1,8.58,13.9,13.07,8988620.0,13576010.0,68.6,72.95,0.3599,0.6401,0.09230000000000001,0.9077,,,0.5705,0.4295
377,Sumatera Barat,2015,5196300.0,94.74,62.42,70.65,66.75,8.32,8.63,14.14,13.07,9083630.0,13631010.0,69.36,73.21,0.364,0.636,0.09230000000000001,0.9077,0.31739999999999996,0.6826000000000001,0.5675,0.4325
378,Sumatera Barat,2016,5259500.0,94.42,64.51,70.65,66.9,8.49,8.72,14.24,13.35,9286000.0,14086000.0,69.87,74.0,0.3729,0.6271,0.10769999999999999,0.8923,0.31620000000000004,0.6838,0.5817,0.4183
379,Sumatera Barat,2017,5321500.0,94.16,65.01,70.7,66.94,8.6,8.86,14.38,13.53,9379000.0,14446000.0,70.26,74.62,0.374,0.626,0.10769999999999999,0.8923,0.3129,0.6871,0.5764,0.4236
380,Sumatera Barat,2018,5382100.0,94.17,65.7,70.93,67.16,8.66,8.87,14.39,13.62,9641000.0,14899000.0,70.74,75.12,0.37479999999999997,0.6252,0.10769999999999999,0.8923,0.32299999999999995,0.677,0.5548,0.44520000000000004
381,Sumatera Barat,2019,5441200.0,94.09,59.09,71.29,67.42,8.77,9.07,14.4,13.68,9899000.0,15311000.0,71.33,75.81,0.3751,0.6249,0.0462,0.9538,0.3367,0.6633,0.5536,0.4464
382,Sumatera Barat,2020,5534470.0,94.17,58.28,71.45,67.59,8.89,9.1,14.41,13.69,9707000.0,15031000.0,71.35,75.77,0.3757,0.6243000000000001,0.0462,0.9538,0.3848,0.6152,0.5897,0.4103
383,Sumatera Barat,2021,5580230.0,94.34,65.12,71.57,67.7,8.96,9.18,14.61,13.7,9748000.0,15167000.0,71.72,76.02,0.3743,0.6256999999999999,0.10769999999999999,0.8923,0.3322,0.6678,0.5909,0.4091
384,Sumatera Selatan,2010,7450400.0,89.73,67.32,70.34,66.45,6.84,7.83,11.25,10.81,7116020.0,12870820.0,61.95,69.04,0.3054,0.6946,0.18460000000000001,0.8154,,,0.5001,0.4999
385,Sumatera Selatan,2011,7598500.0,89.92,68.34,70.49,66.62,6.85,7.87,11.26,11.16,7504680.0,12896390.0,62.58,69.59,0.30829999999999996,0.6917,0.18460000000000001,0.8154,,,0.5179,0.4821
386,Sumatera Selatan,2012,7714300.0,90.79,66.78,70.66,66.78,7.07,7.92,11.58,11.26,7614110.0,12909200.0,63.42,69.85,0.33509999999999995,0.6649,0.1467,0.8533,,,0.49340000000000006,0.5065999999999999
387,Sumatera Selatan,2013,7828700.0,91.25,70.41,70.83,66.95,7.1,7.95,11.58,11.34,7914570.0,12922000.0,63.95,70.08,0.33909999999999996,0.6609,0.1818,0.8182,,,0.5132,0.4868
388,Sumatera Selatan,2014,7941500.0,91.64,70.2,70.91,67.03,7.23,8.08,11.76,11.74,8339840.0,13021670.0,64.88,70.8,0.3431,0.6569,0.17329999999999998,0.8267,,,0.5209,0.47909999999999997
389,Sumatera Selatan,2015,8052300.0,92.22,70.36,71.13,67.25,7.37,8.17,12.2,11.86,8479040.0,13275160.0,65.78,71.33,0.3455,0.6545000000000001,0.17329999999999998,0.8267,0.214,0.786,0.5331,0.4669
390,Sumatera Selatan,2016,8160900.0,92.08,70.69,71.16,67.28,7.48,8.18,12.3,12.17,8797000.0,13920000.0,66.42,72.13,0.3457,0.6543,0.17329999999999998,0.8267,0.2703,0.7297,0.5236999999999999,0.47630000000000006
391,Sumatera Selatan,2017,8267000.0,92.43,73.53,71.17,67.29,7.67,8.3,12.56,12.18,8927000.0,14330000.0,67.08,72.57,0.34700000000000003,0.653,0.2027,0.7973,0.2304,0.7696000000000001,0.4925,0.5075000000000001
392,Sumatera Selatan,2018,8370299.999999999,92.62,74.37,71.4,67.52,7.68,8.32,12.6,12.19,9262000.0,14772000.0,67.61,73.0,0.3471,0.6529,0.2133,0.7867,0.2776,0.7223999999999999,0.5366,0.46340000000000003
393,Sumatera Selatan,2019,8470700.0,92.4,74.45,71.63,67.78,7.82,8.54,12.61,12.32,9507000.0,15154000.0,68.17,73.78,0.34850000000000003,0.6515,0.2133,0.7867,0.2849,0.7151000000000001,0.5528,0.44720000000000004
394,Sumatera Selatan,2020,8467430.0,92.38,74.64,71.86,68.0,7.9,8.57,12.62,12.4,9289000.0,14748000.0,68.15,73.77,0.34990000000000004,0.6500999999999999,0.2162,0.7838,0.305,0.6950000000000001,0.5437,0.45630000000000004
395,Sumatera Selatan,2021,8550850.0,92.35,73.88,71.95,68.11,8.01,8.58,12.63,12.51,9296000.0,14821000.0,68.34,74.0,0.3479,0.6521,0.2133,0.7867,0.3115,0.6885,0.5615,0.4385
396,Sumatera Utara,2010,12982200.0,89.43,67.78,69.43,65.59,8.03,9.01,11.86,11.77,7273080.0,13136650.0,63.87,71.41,0.3492,0.6508,0.16,0.84,,,0.4725,0.5275000000000001
397,Sumatera Utara,2011,13220900.0,89.57,67.39,69.61,65.76,8.06,9.08,11.94,11.77,7428600.0,13381910.0,64.29,71.77,0.3494,0.6506000000000001,0.15,0.85,,,0.5632,0.43679999999999997
398,Sumatera Utara,2012,13408200.0,90.04,69.82,69.78,65.93,8.3,9.16,12.19,11.78,7463310.0,13631750.0,64.94,72.12,0.3564,0.6436,0.17,0.83,,,0.5162,0.4838
399,Sumatera Utara,2013,13590300.0,90.07,70.08,69.91,66.06,8.41,9.18,12.56,12.26,7505840.0,13713900.0,65.55,72.78,0.3566,0.6434,0.17,0.83,,,0.5067,0.49329999999999996
400,Sumatera Utara,2014,13766900.0,90.26,66.69,70.01,66.16,8.55,9.33,12.82,12.43,7587430.0,13796540.0,66.12,73.25,0.3588,0.6412,0.13,0.87,,,0.5246,0.47540000000000004
401,Sumatera Utara,2015,13937800.0,90.96,67.81,70.26,66.41,8.66,9.42,13.2,12.47,7718990.0,13863210.0,66.92,73.57,0.3599,0.6401,0.14,0.86,0.2082,0.7918000000000001,0.5347,0.46530000000000005
402,Sumatera Utara,2016,14102900.0,90.82,69.07,70.29,66.48,8.78,9.48,13.34,12.67,7772000.0,14153000.0,67.27,74.07,0.3601,0.6399,0.15,0.85,0.2923,0.7077,0.5259,0.47409999999999997
403,Sumatera Utara,2017,14262100.0,90.65,69.29,70.29,66.49,8.96,9.55,13.35,12.92,7915000.0,14522000.0,67.68,74.66,0.3603,0.6396999999999999,0.15,0.85,0.3404,0.6596,0.5246,0.47540000000000004
404,Sumatera Utara,2018,14415400.0,90.66,71.29,70.52,66.73,9.08,9.61,13.37,12.96,8138000.0,15124000.0,68.25,75.28,0.3603,0.6396999999999999,0.17170000000000002,0.8283,0.29760000000000003,0.7023999999999999,0.5451,0.45489999999999997
405,Sumatera Utara,2019,14562500.0,90.71,67.76,70.92,67.07,9.17,9.76,13.4,12.97,8315000.0,15471000.0,68.8,75.85,0.3615,0.6385000000000001,0.13,0.87,0.2896,0.7103999999999999,0.5416,0.45840000000000003
406,Sumatera Utara,2020,14799360.0,90.67,67.52,71.08,67.22,9.28,9.82,13.41,13.13,8176000.0,15058000.0,68.83,75.91,0.36119999999999997,0.6388,0.13,0.87,0.2692,0.7308,0.5426,0.45740000000000003
407,Sumatera Utara,2021,14936150.0,90.73,67.79,71.21,67.35,9.33,9.84,13.48,13.14,8227000.0,15265000.0,69.08,76.14,0.3602,0.6397999999999999,0.1313,0.8687,0.2729,0.7271000000000001,0.5395,0.4605
408,Yogyakarta,2010,3457500.0,92.82,77.7,76.06,72.36,7.77,9.29,13.68,14.56,11262030.0,14082920.0,72.96,78.61,0.38409999999999994,0.6159000000000001,0.2642,0.7358,,,0.46009999999999995,0.5399
409,Yogyakarta,2011,3510000.0,93.56,77.84,76.14,72.47,7.8,9.31,14.43,14.76,11414330.0,14310600.0,73.95,79.04,0.3918,0.6082000000000001,0.2642,0.7358,,,0.4454,0.5546
410,Yogyakarta,2012,3552500.0,93.73,75.57,76.24,72.57,7.92,9.33,14.47,14.78,11568690.0,14538130.0,74.33,79.3,0.39549999999999996,0.6045,0.2182,0.7818,,,0.43829999999999997,0.5617000000000001
411,Yogyakarta,2013,3594900.0,94.15,76.36,76.32,72.67,8.14,9.36,14.49,14.8,11725130.0,14586790.0,74.79,79.44,0.3987,0.6013,0.2182,0.7818,,,0.47950000000000004,0.5205
412,Yogyakarta,2014,3637100.0,94.31,66.9,76.36,72.72,8.29,9.42,14.5,15.21,12207270.0,14635440.0,75.43,79.98,0.4019,0.5981000000000001,0.1091,0.8909,,,0.4576,0.5424
413,Yogyakarta,2015,3679200.0,94.41,68.75,76.54,72.9,8.4,9.64,14.88,15.22,12293830.0,15010950.0,76.09,80.6,0.4046,0.5953999999999999,0.1273,0.8727,0.1902,0.8098,0.45299999999999996,0.547
414,Yogyakarta,2016,3720900.0,94.27,66.96,76.54,72.92,8.6,9.67,14.92,15.53,12696000.0,15664000.0,76.71,81.37,0.4052,0.5948,0.1091,0.8909,0.2701,0.7299,0.4449,0.5550999999999999
415,Yogyakarta,2017,3762200.0,94.39,69.37,76.57,72.95,8.73,9.74,15.14,15.54,12801000.0,16119000.0,77.18,81.77,0.40630000000000005,0.5936999999999999,0.1273,0.8727,0.3189,0.6811,0.4606,0.5394
416,Yogyakarta,2018,3802900.0,94.73,69.64,76.65,73.03,8.8,9.87,15.61,15.55,13092000.0,16745000.0,78.0,82.34,0.4078,0.5922000000000001,0.1273,0.8727,0.3943,0.6057,0.47700000000000004,0.5229999999999999
417,Yogyakarta,2019,3842900.0,94.77,73.59,76.76,73.13,8.87,9.92,15.62,15.58,13520000.0,17302000.0,78.47,82.8,0.40850000000000003,0.5914999999999999,0.1636,0.8364,0.33409999999999995,0.6659,0.4965,0.5035000000000001
418,Yogyakarta,2020,3668720.0,94.8,74.73,76.83,73.22,9.16,9.96,15.63,15.59,13000000.0,17050000.0,78.46,82.76,0.4082,0.5918,0.1818,0.8182,0.4054,0.5946,0.5368999999999999,0.46310000000000007
419,Yogyakarta,2021,3712900.0,94.88,76.57,76.89,73.27,9.31,9.98,15.64,15.67,13075000.0,17231000.0,78.74,82.99,0.41259999999999997,0.5874,0.2,0.8,0.2584,0.7416,0.5218,0.47819999999999996
